Date,Line,Amt,Channel,Promotion
12/31/2013,Mountain,15595,Specialty Bike Shop,Non Discount Promotion
12/31/2013,Road,40387,Value Added Reseller,New Product Launch
12/31/2013,Touring,6773,Specialty Bike Shop,Non Discount Promotion
11/30/2013,Mountain,161526,Value Added Reseller,Seasonal Discount
11/30/2013,Road,39318,Specialty Bike Shop,Seasonal Discount
11/30/2013,Touring,454432,Warehouse,Non Discount Promotion
10/31/2013,Mountain,5435,Warehouse,New Product Launch
10/31/2013,Road,1031140,Value Added Reseller,New Product Launch
10/31/2013,Touring,54540,Value Added Reseller,New Product Launch
10/31/2013,Mountain,26502,Warehouse,Non Discount Promotion
10/31/2013,Road,31801,Value Added Reseller,New Product Launch
10/31/2013,Touring,417592,Value Added Reseller,Non Discount Promotion
9/30/2013,Mountain,8483,Specialty Bike Shop,New Product Launch
9/30/2013,Road,1239393,Specialty Bike Shop,Seasonal Discount
9/30/2013,Touring,448190,Value Added Reseller,Non Discount Promotion
9/30/2013,Mountain,8581,Warehouse,Seasonal Discount
9/30/2013,Road,457015,Specialty Bike Shop,Non Discount Promotion
9/30/2013,Touring,44233,Warehouse,Non Discount Promotion
8/31/2013,Mountain,6388,Value Added Reseller,Seasonal Discount
8/31/2013,Road,412321,Value Added Reseller,New Product Launch
8/31/2013,Touring,40910,Warehouse,New Product Launch
8/31/2013,Mountain,24181,Warehouse,New Product Launch
8/31/2013,Road,439930,Specialty Bike Shop,Seasonal Discount
8/31/2013,Touring,50863,Warehouse,Seasonal Discount
7/31/2013,Mountain,9719,Warehouse,New Product Launch
7/31/2013,Road,59460,Warehouse,Seasonal Discount
7/31/2013,Touring,30899,Warehouse,New Product Launch
7/31/2013,Mountain,44461,Specialty Bike Shop,Seasonal Discount
7/31/2013,Road,415617,Specialty Bike Shop,New Product Launch
7/31/2013,Touring,17676,Specialty Bike Shop,Non Discount Promotion
6/30/2013,Mountain,171829,Value Added Reseller,Seasonal Discount
6/30/2013,Road,49947,Warehouse,New Product Launch
6/30/2013,Touring,346653,Specialty Bike Shop,Seasonal Discount
6/30/2013,Mountain,37061,Specialty Bike Shop,New Product Launch
6/30/2013,Road,35190,Specialty Bike Shop,New Product Launch
6/30/2013,Touring,426858,Value Added Reseller,Non Discount Promotion
5/31/2013,Mountain,10712,Warehouse,Non Discount Promotion
5/31/2013,Road,55182,Warehouse,Non Discount Promotion
5/31/2013,Touring,126527,Value Added Reseller,Seasonal Discount
5/31/2013,Mountain,51407,Warehouse,Seasonal Discount
5/31/2013,Road,351617,Warehouse,Non Discount Promotion
5/31/2013,Touring,358653,Specialty Bike Shop,Non Discount Promotion
4/30/2013,Mountain,25558,Value Added Reseller,Seasonal Discount
4/30/2013,Road,16883,Specialty Bike Shop,New Product Launch
4/30/2013,Touring,419624,Value Added Reseller,New Product Launch
4/30/2013,Mountain,58037,Value Added Reseller,New Product Launch
4/30/2013,Road,414734,Warehouse,New Product Launch
4/30/2013,Touring,38746,Specialty Bike Shop,Seasonal Discount
3/31/2013,Mountain,161729,Warehouse,Non Discount Promotion
3/31/2013,Road,13212,Warehouse,Non Discount Promotion
3/31/2013,Touring,428497,Specialty Bike Shop,New Product Launch
3/31/2013,Mountain,46030,Specialty Bike Shop,New Product Launch
3/31/2013,Road,231415,Specialty Bike Shop,New Product Launch
3/31/2013,Touring,352694,Value Added Reseller,New Product Launch
2/28/2013,Mountain,49963,Specialty Bike Shop,New Product Launch
2/28/2013,Road,33423,Specialty Bike Shop,Seasonal Discount
2/28/2013,Touring,35362,Specialty Bike Shop,Seasonal Discount
2/28/2013,Mountain,55237,Value Added Reseller,Non Discount Promotion
2/28/2013,Road,319450,Value Added Reseller,Seasonal Discount
2/28/2013,Touring,16036,Specialty Bike Shop,Seasonal Discount
1/31/2013,Mountain,8841,Specialty Bike Shop,New Product Launch
1/31/2013,Road,446241,Value Added Reseller,Non Discount Promotion
1/31/2013,Touring,431415,Value Added Reseller,Seasonal Discount
1/31/2013,Mountain,241516,Warehouse,New Product Launch
1/31/2013,Road,11777,Warehouse,New Product Launch
1/31/2013,Touring,10772,Warehouse,Non Discount Promotion
12/31/2012,Mountain,6180,Specialty Bike Shop,New Product Launch
12/31/2012,Road,337825,Warehouse,New Product Launch
12/31/2012,Touring,334217,Warehouse,Non Discount Promotion
12/31/2012,Mountain,41364,Specialty Bike Shop,Non Discount Promotion
