Date,Line,Total Product Cost,Amt,Channel,Promotion,Margin
6/30/2008,Mountain,13056,13076,Specialty Bike Shop,Non Discount Promotion,20
6/30/2008,Road,37403,37470,Specialty Bike Shop,Seasonal Discount,67
7/31/2008,Mountain,46819,47352,Specialty Bike Shop,Non Discount Promotion,533
7/31/2008,Road,19704,20188,Value Added Reseller,New Product Launch,484
8/31/2008,Mountain,57272,58710,Value Added Reseller,New Product Launch,1438
8/31/2008,Road,19097,19205,Specialty Bike Shop,Non Discount Promotion,108
9/30/2008,Mountain,45848,47266,Warehouse,Seasonal Discount,1418
9/30/2008,Road,52166,51787,Value Added Reseller,New Product Launch,-379
10/31/2008,Mountain,47861,47998,Specialty Bike Shop,Non Discount Promotion,137
10/31/2008,Road,38992,39042,Warehouse,New Product Launch,50
11/30/2008,Mountain,73349,74565,Warehouse,New Product Launch,1216
11/30/2008,Road,41118,42194,Specialty Bike Shop,New Product Launch,1076
12/31/2008,Mountain,21682,22873,Warehouse,Seasonal Discount,1191
12/31/2008,Road,35801,36230,Value Added Reseller,Seasonal Discount,429
1/31/2009,Mountain,34147,34690,Value Added Reseller,Non Discount Promotion,543
1/31/2009,Road,32573,33076,Warehouse,Seasonal Discount,503
2/28/2009,Mountain,82305,83353,Warehouse,Non Discount Promotion,1048
2/28/2009,Road,34153,34601,Warehouse,Seasonal Discount,448
3/31/2009,Mountain,26078,27303,Specialty Bike Shop,Non Discount Promotion,1225
3/31/2009,Road,61464,60520,Value Added Reseller,Non Discount Promotion,-944
4/30/2009,Mountain,45527,46252,Specialty Bike Shop,Seasonal Discount,725
4/30/2009,Road,37974,39713,Specialty Bike Shop,Non Discount Promotion,1739
5/31/2009,Mountain,8913,9291,Value Added Reseller,New Product Launch,378
5/31/2009,Road,31536,32530,Warehouse,Non Discount Promotion,994
6/30/2009,Mountain,229172,230680,Warehouse,Non Discount Promotion,1508
6/30/2009,Road,129477,130331,Warehouse,Seasonal Discount,854
7/31/2009,Mountain,135611,136911,Specialty Bike Shop,New Product Launch,1300
7/31/2009,Road,123223,123467,Value Added Reseller,Seasonal Discount,244
8/31/2009,Mountain,206591,208229,Warehouse,Seasonal Discount,1638
8/31/2009,Road,114857,115037,Specialty Bike Shop,New Product Launch,180
9/30/2009,Mountain,154851,155826,Warehouse,New Product Launch,975
9/30/2009,Road,87084,88091,Specialty Bike Shop,Non Discount Promotion,1007
10/31/2009,Mountain,96833,98633,Specialty Bike Shop,New Product Launch,1800
10/31/2009,Road,126733,125716,Value Added Reseller,New Product Launch,-1017
11/30/2009,Mountain,182594,184286,Specialty Bike Shop,Seasonal Discount,1692
11/30/2009,Road,106735,106139,Value Added Reseller,Seasonal Discount,-596
12/31/2009,Mountain,108103,109834,Specialty Bike Shop,Non Discount Promotion,1731
12/31/2009,Road,60300,61445,Specialty Bike Shop,Non Discount Promotion,1145
1/31/2010,Mountain,75925,76018,Value Added Reseller,Seasonal Discount,93
1/31/2010,Road,110252,109940,Value Added Reseller,Seasonal Discount,-312
2/28/2010,Mountain,150479,151051,Specialty Bike Shop,Non Discount Promotion,572
2/28/2010,Road,99818,100987,Warehouse,Seasonal Discount,1169
3/31/2010,Mountain,178283,179750,Value Added Reseller,New Product Launch,1467
3/31/2010,Road,105264,106445,Warehouse,Seasonal Discount,1181
4/30/2010,Mountain,69206,70536,Warehouse,Non Discount Promotion,1330
4/30/2010,Road,133118,132976,Value Added Reseller,New Product Launch,-142
